,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.11,0.1,0.11,0.1,0.11,0.13,0.11,0.12,0.1,0.11,0.1,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.1,0.11,0.1,0.11,0.15,0.12,0.12,0.11,0.12,0.15,0.12,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.1,0.13,0.13,0.13,0.11,0.12,0.1,0.16,0.15,0.13,0.12,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.1,0.12,0.13,0.12,0.13,0.14,0.12,0.12,0.12,0.12,0.15,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.1,0.12,0.13,0.12,0.11,0.14,0.14,0.13,0.11,0.14,0.13,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.11,0.1,0.12,0.12,0.16,0.12,0.15,0.14,0.18,0.15,0.1,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.01,0.1,0.16,0.14,0.16,0.14,0.12,0.12,0.14,0.15,0.16,0.17,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.11,0.14,0.13,0.15,0.15,0.17,0.16,0.12,0.17,0.13,0.15,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.04,0.03,0.11,0.14,0.16,0.16,0.18,0.12,0.17,0.18,0.11,0.19,0.15
2,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.05,0.05,0.04,0.07,0.06,0.02,0.05,0.05,0.04,0.05,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.01,0.02,0.01,0.01,0.04,0.02,0.02,0.01,0.01,0.01,0.03,0.11,0.1,0.11,0.1,0.11,0.13,0.13,0.12,0.11,0.12,0.1,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.1,0.13,0.1,0.15,0.21,0.13,0.14,0.12,0.12,0.15,0.15,0.03,0.03,0.02,0.02,0.05,0.02,0.02,0.01,0.02,0.04,0.01,0.11,0.16,0.16,0.14,0.11,0.13,0.14,0.19,0.19,0.14,0.15,0.01,0.02,0.03,0.02,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.1,0.13,0.15,0.13,0.15,0.19,0.18,0.15,0.16,0.18,0.23,0.01,0.05,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.1,0.14,0.19,0.15,0.14,0.15,0.19,0.17,0.14,0.19,0.17,0.03,0.02,0.01,0.01,0.02,0.04,0.02,0.02,0.04,0.03,0.02,0.13,0.13,0.15,0.17,0.19,0.16,0.2,0.19,0.24,0.24,0.12,0.03,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.05,0.01,0.02,0.11,0.23,0.19,0.24,0.24,0.17,0.16,0.18,0.21,0.21,0.23,0.04,0.05,0.03,0.07,0.02,0.06,0.08,0.03,0.03,0.03,0.05,0.12,0.17,0.18,0.2,0.22,0.29,0.21,0.16,0.24,0.18,0.21,0.01,0.04,0.03,0.04,0.05,0.05,0.02,0.04,0.06,0.06,0.07,0.12,0.17,0.23,0.25,0.3,0.13,0.24,0.3,0.2,0.26,0.27
3,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.01,0.02,0.03,0.04,0.0,0.02,0.03,0.03,0.02,0.01,0.02,0.0,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.07,0.07,0.09,0.1,0.07,0.08,0.06,0.09,0.07,0.01,0.02,0.02,0.0,0.04,0.01,0.01,0.01,0.01,0.02,0.03,0.06,0.08,0.06,0.06,0.05,0.11,0.1,0.09,0.12,0.09,0.07,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.02,0.0,0.01,0.0,0.08,0.12,0.08,0.16,0.18,0.13,0.12,0.13,0.13,0.14,0.16,0.03,0.04,0.02,0.04,0.05,0.02,0.03,0.01,0.03,0.03,0.0,0.1,0.15,0.18,0.14,0.15,0.15,0.14,0.24,0.21,0.15,0.14,0.01,0.04,0.03,0.01,0.05,0.06,0.02,0.04,0.01,0.01,0.01,0.09,0.12,0.15,0.14,0.18,0.2,0.18,0.16,0.17,0.21,0.26,0.01,0.07,0.01,0.0,0.02,0.03,0.02,0.03,0.05,0.01,0.01,0.12,0.15,0.21,0.16,0.21,0.18,0.23,0.22,0.18,0.25,0.16,0.06,0.02,0.0,0.01,0.02,0.05,0.01,0.03,0.05,0.03,0.04,0.14,0.17,0.18,0.2,0.26,0.22,0.33,0.25,0.33,0.3,0.15,0.02,0.03,0.03,0.02,0.04,0.09,0.01,0.11,0.08,0.03,0.03,0.11,0.3,0.23,0.34,0.29,0.23,0.22,0.24,0.28,0.28,0.31,0.06,0.06,0.06,0.12,0.03,0.08,0.13,0.06,0.03,0.02,0.06,0.13,0.21,0.24,0.29,0.31,0.4,0.27,0.23,0.38,0.25,0.27,0.0,0.04,0.04,0.05,0.06,0.07,0.04,0.08,0.07,0.11,0.1,0.13,0.26,0.31,0.38,0.36,0.19,0.32,0.46,0.34,0.35,0.39
4,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.02,0.02,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.05,0.07,0.08,0.04,0.05,0.06,0.05,0.05,0.05,0.07,0.05,0.01,0.03,0.01,0.0,0.04,0.02,0.02,0.01,0.0,0.02,0.04,0.03,0.06,0.05,0.06,0.05,0.1,0.11,0.07,0.09,0.08,0.05,0.02,0.01,0.03,0.02,0.03,0.01,0.03,0.02,0.0,0.0,0.0,0.08,0.1,0.05,0.14,0.14,0.09,0.11,0.13,0.15,0.1,0.17,0.05,0.05,0.02,0.07,0.05,0.03,0.03,0.01,0.04,0.04,0.0,0.1,0.16,0.17,0.15,0.16,0.15,0.14,0.23,0.25,0.17,0.22,0.01,0.05,0.03,0.01,0.05,0.07,0.02,0.06,0.03,0.01,0.03,0.11,0.13,0.17,0.16,0.22,0.18,0.27,0.17,0.23,0.26,0.32,0.01,0.09,0.01,0.0,0.04,0.04,0.05,0.03,0.07,0.0,0.04,0.12,0.18,0.22,0.19,0.28,0.2,0.29,0.28,0.24,0.29,0.2,0.06,0.04,0.0,0.03,0.02,0.05,0.01,0.04,0.07,0.04,0.06,0.15,0.21,0.25,0.24,0.33,0.3,0.44,0.36,0.49,0.41,0.22,0.03,0.03,0.04,0.03,0.09,0.14,0.01,0.15,0.09,0.04,0.04,0.12,0.34,0.26,0.44,0.44,0.28,0.25,0.33,0.36,0.4,0.36,0.08,0.07,0.07,0.21,0.05,0.14,0.19,0.07,0.03,0.02,0.06,0.15,0.26,0.32,0.39,0.4,0.52,0.4,0.35,0.47,0.32,0.4,0.0,0.07,0.05,0.07,0.08,0.14,0.07,0.14,0.1,0.25,0.14,0.15,0.34,0.41,0.53,0.42,0.23,0.45,0.57,0.49,0.51,0.5
5,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.04,0.03,0.05,0.02,0.04,0.02,0.05,0.04,0.04,0.06,0.05,0.01,0.02,0.01,0.0,0.03,0.03,0.03,0.01,0.0,0.03,0.04,0.03,0.06,0.06,0.07,0.05,0.09,0.09,0.07,0.12,0.06,0.04,0.02,0.01,0.04,0.01,0.01,0.03,0.03,0.01,0.0,0.0,0.0,0.07,0.08,0.07,0.13,0.11,0.09,0.09,0.12,0.17,0.12,0.14,0.03,0.05,0.01,0.06,0.04,0.03,0.03,0.02,0.03,0.06,0.0,0.07,0.22,0.19,0.16,0.18,0.18,0.12,0.26,0.29,0.19,0.27,0.03,0.06,0.01,0.01,0.07,0.08,0.03,0.06,0.06,0.02,0.04,0.11,0.16,0.17,0.19,0.25,0.23,0.29,0.19,0.24,0.32,0.36,0.01,0.11,0.01,0.0,0.05,0.04,0.06,0.05,0.13,0.0,0.05,0.13,0.23,0.25,0.28,0.33,0.29,0.31,0.31,0.3,0.35,0.21,0.07,0.06,0.0,0.03,0.01,0.09,0.02,0.05,0.13,0.03,0.07,0.16,0.23,0.35,0.33,0.36,0.39,0.52,0.45,0.6,0.5,0.21,0.04,0.05,0.05,0.03,0.15,0.19,0.0,0.2,0.1,0.05,0.08,0.12,0.4,0.3,0.59,0.52,0.39,0.33,0.48,0.5,0.56,0.46,0.08,0.09,0.09,0.26,0.1,0.19,0.23,0.11,0.04,0.02,0.07,0.16,0.31,0.36,0.51,0.49,0.68,0.52,0.45,0.59,0.36,0.48,0.0,0.1,0.06,0.1,0.1,0.21,0.13,0.2,0.14,0.36,0.2,0.17,0.46,0.54,0.62,0.47,0.29,0.55,0.68,0.64,0.71,0.6
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.03,0.05,0.01,0.04,0.01,0.06,0.05,0.03,0.06,0.03,0.0,0.03,0.01,0.0,0.02,0.03,0.02,0.01,0.0,0.02,0.04,0.03,0.06,0.07,0.05,0.06,0.07,0.05,0.07,0.1,0.07,0.04,0.02,0.01,0.03,0.01,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.07,0.09,0.06,0.12,0.14,0.08,0.15,0.13,0.16,0.08,0.15,0.03,0.04,0.02,0.06,0.04,0.02,0.03,0.03,0.03,0.06,0.0,0.09,0.25,0.21,0.13,0.18,0.23,0.16,0.27,0.28,0.17,0.31,0.04,0.07,0.0,0.02,0.06,0.09,0.02,0.07,0.11,0.02,0.04,0.13,0.14,0.22,0.2,0.33,0.27,0.31,0.18,0.28,0.38,0.36,0.01,0.12,0.02,0.0,0.05,0.05,0.07,0.06,0.18,0.0,0.05,0.12,0.23,0.24,0.34,0.4,0.38,0.42,0.36,0.36,0.41,0.25,0.09,0.06,0.0,0.05,0.01,0.1,0.02,0.05,0.17,0.04,0.09,0.17,0.27,0.45,0.41,0.43,0.49,0.63,0.56,0.7,0.56,0.22,0.07,0.06,0.08,0.05,0.21,0.24,0.0,0.29,0.14,0.07,0.12,0.15,0.51,0.38,0.71,0.61,0.45,0.51,0.59,0.66,0.72,0.59,0.12,0.12,0.15,0.39,0.12,0.26,0.33,0.14,0.07,0.02,0.09,0.19,0.35,0.44,0.67,0.59,0.8,0.7,0.57,0.73,0.48,0.64,0.0,0.15,0.06,0.17,0.15,0.33,0.19,0.3,0.19,0.51,0.25,0.17,0.52,0.61,0.78,0.6,0.42,0.6,0.79,0.72,0.83,0.67
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0.0,0.04,0.02,0.03,0.04,0.02,0.0,0.04,0.01,0.0,0.0,0.02,0.02,0.01,0.0,0.02,0.02,0.02,0.07,0.04,0.05,0.04,0.06,0.05,0.1,0.1,0.1,0.03,0.02,0.01,0.02,0.0,0.04,0.03,0.04,0.03,0.0,0.0,0.0,0.07,0.07,0.08,0.14,0.18,0.06,0.18,0.11,0.15,0.11,0.17,0.04,0.03,0.01,0.07,0.04,0.02,0.03,0.04,0.02,0.05,0.0,0.08,0.26,0.24,0.15,0.18,0.22,0.15,0.25,0.28,0.21,0.35,0.04,0.07,0.0,0.03,0.07,0.12,0.03,0.08,0.12,0.02,0.07,0.15,0.16,0.2,0.2,0.37,0.35,0.33,0.2,0.32,0.43,0.43,0.01,0.17,0.03,0.0,0.07,0.04,0.13,0.08,0.2,0.0,0.07,0.13,0.28,0.27,0.43,0.5,0.43,0.45,0.37,0.39,0.48,0.29,0.11,0.06,0.0,0.06,0.0,0.16,0.01,0.05,0.22,0.07,0.15,0.16,0.32,0.53,0.48,0.5,0.57,0.71,0.62,0.75,0.67,0.26,0.08,0.09,0.09,0.12,0.28,0.31,0.0,0.39,0.23,0.12,0.15,0.17,0.57,0.42,0.77,0.71,0.53,0.65,0.69,0.78,0.77,0.71,0.14,0.15,0.19,0.49,0.18,0.3,0.44,0.22,0.08,0.02,0.11,0.2,0.4,0.54,0.76,0.65,0.84,0.83,0.65,0.88,0.56,0.82,0.0,0.19,0.09,0.28,0.18,0.44,0.27,0.39,0.31,0.65,0.33,0.18,0.59,0.74,0.88,0.71,0.59,0.77,0.89,0.82,0.94,0.78
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.01,0.0,0.03,0.03,0.01,0.03,0.01,0.0,0.04,0.01,0.0,0.0,0.01,0.02,0.01,0.0,0.01,0.03,0.01,0.07,0.05,0.02,0.04,0.04,0.02,0.08,0.1,0.07,0.02,0.02,0.01,0.02,0.0,0.04,0.01,0.06,0.04,0.0,0.0,0.0,0.05,0.08,0.08,0.13,0.17,0.07,0.18,0.13,0.16,0.12,0.15,0.03,0.03,0.01,0.04,0.04,0.02,0.01,0.05,0.02,0.03,0.0,0.07,0.26,0.26,0.17,0.18,0.24,0.17,0.25,0.29,0.25,0.32,0.05,0.08,0.0,0.04,0.08,0.13,0.01,0.09,0.15,0.05,0.06,0.17,0.18,0.24,0.23,0.45,0.4,0.4,0.2,0.33,0.46,0.46,0.03,0.21,0.04,0.0,0.07,0.06,0.15,0.11,0.24,0.0,0.11,0.14,0.33,0.24,0.5,0.53,0.49,0.57,0.41,0.46,0.58,0.32,0.13,0.06,0.0,0.08,0.0,0.18,0.01,0.05,0.22,0.07,0.22,0.16,0.34,0.59,0.53,0.62,0.69,0.8,0.73,0.82,0.78,0.34,0.11,0.11,0.11,0.15,0.36,0.4,0.0,0.51,0.39,0.21,0.19,0.19,0.63,0.48,0.85,0.79,0.64,0.84,0.82,0.86,0.85,0.79,0.15,0.17,0.25,0.63,0.24,0.37,0.54,0.3,0.13,0.04,0.17,0.23,0.49,0.62,0.82,0.76,0.91,0.89,0.77,0.97,0.7,0.93,0.0,0.24,0.15,0.37,0.25,0.6,0.37,0.54,0.43,0.84,0.4,0.19,0.65,0.84,0.95,0.84,0.74,0.89,0.95,0.93,1.0,0.89
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.03,0.02,0.04,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.01,0.06,0.04,0.0,0.04,0.03,0.02,0.07,0.12,0.07,0.01,0.01,0.01,0.02,0.0,0.03,0.01,0.07,0.04,0.0,0.0,0.0,0.03,0.1,0.09,0.13,0.15,0.11,0.17,0.13,0.17,0.13,0.14,0.04,0.04,0.0,0.05,0.05,0.01,0.02,0.07,0.04,0.02,0.0,0.07,0.26,0.27,0.19,0.21,0.25,0.17,0.24,0.28,0.24,0.39,0.05,0.07,0.0,0.07,0.07,0.14,0.02,0.09,0.15,0.1,0.08,0.17,0.19,0.27,0.27,0.51,0.45,0.43,0.23,0.35,0.42,0.52,0.03,0.24,0.05,0.0,0.08,0.1,0.19,0.1,0.25,0.0,0.17,0.16,0.36,0.32,0.6,0.61,0.58,0.62,0.5,0.53,0.66,0.41,0.13,0.07,0.0,0.1,0.0,0.22,0.02,0.05,0.23,0.1,0.27,0.18,0.37,0.66,0.57,0.69,0.76,0.86,0.81,0.9,0.82,0.44,0.12,0.14,0.15,0.2,0.45,0.52,0.0,0.61,0.51,0.3,0.21,0.21,0.71,0.55,0.94,0.87,0.75,0.92,0.91,0.9,0.91,0.85,0.18,0.19,0.3,0.74,0.31,0.42,0.7,0.38,0.21,0.04,0.25,0.27,0.61,0.71,0.9,0.84,0.97,0.97,0.89,1.0,0.88,0.98,0.0,0.29,0.26,0.47,0.35,0.78,0.47,0.65,0.57,0.9,0.5,0.2,0.72,0.92,0.99,0.95,0.84,0.95,1.0,0.99,1.0,0.97
