,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.1,0.2,0.2,0.2,0.2,0.201,0.2,0.2,0.2,0.201,0.201,0.201,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.2,0.2,0.2,0.2,0.2,0.2,0.201,0.201,0.202,0.204,0.202,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.101,0.102,0.101,0.102,0.2,0.2,0.2,0.201,0.201,0.202,0.201,0.202,0.202,0.202,0.206,0.1,0.1,0.1,0.1,0.101,0.101,0.101,0.1,0.104,0.101,0.101,0.2,0.2,0.2,0.201,0.201,0.202,0.202,0.202,0.204,0.205,0.209,0.1,0.1,0.101,0.1,0.1,0.101,0.102,0.102,0.1,0.102,0.105,0.2,0.2,0.2,0.2,0.2,0.2,0.204,0.205,0.205,0.209,0.21
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.1,0.2,0.2,0.2,0.201,0.201,0.201,0.2,0.201,0.201,0.202,0.201,0.1,0.1,0.1,0.101,0.101,0.101,0.101,0.102,0.1,0.101,0.101,0.2,0.2,0.2,0.2,0.201,0.202,0.202,0.203,0.204,0.21,0.205,0.1,0.1,0.1,0.101,0.101,0.1,0.103,0.104,0.105,0.101,0.108,0.201,0.2,0.2,0.201,0.202,0.203,0.204,0.207,0.204,0.208,0.212,0.1,0.1,0.101,0.1,0.103,0.104,0.104,0.1,0.106,0.103,0.103,0.2,0.201,0.202,0.204,0.204,0.205,0.21,0.209,0.21,0.215,0.217,0.1,0.1,0.101,0.101,0.105,0.105,0.105,0.106,0.107,0.105,0.11,0.201,0.2,0.203,0.205,0.204,0.208,0.209,0.217,0.213,0.225,0.224
5,0.1,0.1,0.1,0.1,0.1,0.101,0.103,0.103,0.101,0.101,0.102,0.2,0.2,0.203,0.202,0.203,0.202,0.2,0.206,0.202,0.205,0.204,0.1,0.101,0.1,0.101,0.103,0.101,0.102,0.104,0.101,0.103,0.102,0.2,0.2,0.2,0.2,0.201,0.202,0.204,0.206,0.209,0.215,0.213,0.1,0.101,0.1,0.102,0.103,0.1,0.107,0.106,0.109,0.102,0.108,0.202,0.2,0.2,0.202,0.203,0.208,0.209,0.211,0.211,0.216,0.221,0.101,0.101,0.101,0.102,0.107,0.105,0.11,0.1,0.112,0.108,0.111,0.2,0.201,0.202,0.204,0.208,0.212,0.22,0.218,0.217,0.231,0.234,0.1,0.1,0.101,0.104,0.107,0.11,0.113,0.108,0.116,0.113,0.119,0.201,0.2,0.206,0.207,0.209,0.216,0.216,0.224,0.226,0.241,0.246
6,0.1,0.1,0.1,0.1,0.101,0.101,0.103,0.103,0.103,0.101,0.102,0.2,0.2,0.205,0.204,0.206,0.203,0.204,0.207,0.207,0.208,0.208,0.1,0.101,0.1,0.101,0.103,0.102,0.104,0.105,0.103,0.106,0.104,0.2,0.2,0.2,0.2,0.206,0.205,0.207,0.209,0.216,0.22,0.224,0.1,0.101,0.102,0.102,0.105,0.101,0.109,0.108,0.113,0.107,0.112,0.202,0.2,0.201,0.203,0.205,0.212,0.214,0.219,0.218,0.222,0.233,0.101,0.101,0.102,0.104,0.111,0.111,0.111,0.103,0.116,0.116,0.121,0.2,0.201,0.207,0.206,0.211,0.219,0.227,0.228,0.233,0.248,0.26,0.101,0.101,0.103,0.105,0.108,0.115,0.12,0.115,0.123,0.12,0.13,0.201,0.201,0.209,0.214,0.218,0.231,0.226,0.242,0.249,0.264,0.263
7,0.101,0.1,0.1,0.1,0.101,0.102,0.104,0.104,0.103,0.101,0.103,0.2,0.2,0.205,0.204,0.206,0.204,0.205,0.212,0.21,0.21,0.211,0.1,0.101,0.1,0.101,0.103,0.104,0.105,0.107,0.105,0.109,0.108,0.2,0.2,0.201,0.202,0.208,0.21,0.213,0.216,0.231,0.238,0.236,0.101,0.101,0.102,0.104,0.108,0.101,0.113,0.113,0.119,0.113,0.117,0.202,0.201,0.204,0.206,0.215,0.219,0.22,0.223,0.227,0.228,0.253,0.101,0.101,0.103,0.109,0.112,0.114,0.119,0.108,0.119,0.122,0.135,0.2,0.204,0.21,0.212,0.215,0.222,0.236,0.246,0.246,0.267,0.279,0.101,0.103,0.107,0.108,0.113,0.123,0.13,0.124,0.13,0.14,0.143,0.201,0.202,0.213,0.223,0.224,0.245,0.237,0.262,0.268,0.289,0.297
8,0.095,0.096,0.09,0.082,0.081,0.08,0.072,0.065,0.052,0.035,0.03,0.189,0.185,0.177,0.17,0.167,0.167,0.152,0.144,0.134,0.115,0.093,0.102,0.101,0.101,0.101,0.103,0.107,0.107,0.111,0.109,0.11,0.111,0.2,0.201,0.201,0.204,0.212,0.21,0.222,0.221,0.245,0.246,0.248,0.101,0.102,0.102,0.107,0.113,0.103,0.116,0.12,0.125,0.117,0.123,0.202,0.203,0.204,0.208,0.219,0.224,0.225,0.231,0.239,0.245,0.276,0.101,0.102,0.104,0.115,0.12,0.12,0.13,0.116,0.127,0.125,0.145,0.202,0.205,0.214,0.215,0.222,0.232,0.251,0.264,0.269,0.305,0.313,0.101,0.103,0.107,0.11,0.121,0.132,0.135,0.135,0.143,0.154,0.16,0.201,0.204,0.218,0.231,0.232,0.253,0.257,0.288,0.296,0.319,0.331
9,0.095,0.099,0.094,0.085,0.081,0.085,0.075,0.07,0.056,0.035,0.034,0.195,0.191,0.185,0.177,0.177,0.175,0.157,0.151,0.138,0.121,0.097,0.1,0.1,0.101,0.095,0.092,0.094,0.092,0.074,0.066,0.059,0.051,0.197,0.199,0.197,0.196,0.207,0.193,0.199,0.184,0.188,0.177,0.175,0.101,0.102,0.107,0.109,0.118,0.106,0.121,0.125,0.132,0.123,0.131,0.202,0.205,0.206,0.21,0.224,0.23,0.237,0.246,0.254,0.264,0.294,0.101,0.103,0.107,0.118,0.123,0.128,0.136,0.123,0.139,0.14,0.154,0.203,0.206,0.221,0.222,0.229,0.241,0.266,0.289,0.289,0.327,0.343,0.101,0.104,0.109,0.114,0.126,0.142,0.148,0.145,0.155,0.169,0.178,0.203,0.206,0.229,0.246,0.246,0.275,0.282,0.306,0.317,0.353,0.367
