,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.1,0.1,0.101,0.101,0.2,0.2,0.201,0.2,0.2,0.201,0.2,0.201,0.202,0.203,0.201,0.1,0.101,0.101,0.1,0.1,0.1,0.1,0.101,0.101,0.102,0.101,0.201,0.2,0.2,0.2,0.201,0.2,0.202,0.203,0.203,0.204,0.207,0.1,0.1,0.1,0.1,0.101,0.101,0.1,0.102,0.102,0.102,0.102,0.2,0.2,0.2,0.2,0.2,0.203,0.204,0.201,0.208,0.205,0.207
4,0.1,0.1,0.1,0.1,0.1,0.101,0.101,0.101,0.102,0.105,0.102,0.2,0.2,0.201,0.201,0.2,0.203,0.203,0.206,0.204,0.207,0.205,0.101,0.101,0.101,0.1,0.1,0.102,0.102,0.103,0.104,0.102,0.105,0.201,0.2,0.2,0.203,0.203,0.203,0.207,0.207,0.206,0.212,0.213,0.1,0.101,0.101,0.101,0.102,0.102,0.101,0.106,0.107,0.104,0.108,0.2,0.201,0.201,0.201,0.203,0.207,0.207,0.21,0.22,0.221,0.215
5,0.1,0.1,0.1,0.1,0.102,0.101,0.103,0.105,0.104,0.106,0.106,0.2,0.2,0.203,0.203,0.203,0.207,0.207,0.208,0.212,0.213,0.214,0.101,0.101,0.103,0.1,0.101,0.104,0.104,0.107,0.107,0.104,0.112,0.201,0.201,0.201,0.208,0.209,0.207,0.217,0.215,0.212,0.22,0.231,0.101,0.101,0.102,0.104,0.107,0.103,0.105,0.109,0.113,0.109,0.116,0.2,0.203,0.203,0.205,0.209,0.213,0.22,0.225,0.235,0.235,0.234
6,0.1,0.1,0.102,0.103,0.103,0.102,0.104,0.106,0.107,0.109,0.111,0.2,0.2,0.205,0.203,0.209,0.211,0.213,0.218,0.223,0.22,0.225,0.101,0.101,0.106,0.103,0.104,0.107,0.108,0.116,0.116,0.117,0.121,0.201,0.201,0.204,0.209,0.211,0.214,0.221,0.225,0.228,0.248,0.248,0.101,0.101,0.104,0.108,0.109,0.108,0.113,0.116,0.121,0.119,0.128,0.202,0.203,0.205,0.211,0.219,0.223,0.229,0.249,0.251,0.262,0.26
7,0.1,0.101,0.102,0.105,0.104,0.104,0.111,0.111,0.11,0.115,0.117,0.2,0.2,0.209,0.21,0.218,0.215,0.219,0.226,0.234,0.238,0.246,0.102,0.102,0.106,0.106,0.106,0.11,0.115,0.121,0.124,0.127,0.141,0.202,0.202,0.204,0.212,0.218,0.221,0.232,0.241,0.245,0.272,0.268,0.102,0.103,0.105,0.111,0.114,0.111,0.117,0.127,0.131,0.124,0.144,0.202,0.205,0.208,0.216,0.223,0.242,0.24,0.279,0.278,0.282,0.283
8,0.1,0.102,0.103,0.109,0.105,0.109,0.116,0.12,0.117,0.12,0.125,0.2,0.201,0.213,0.212,0.225,0.221,0.228,0.237,0.25,0.252,0.26,0.102,0.103,0.108,0.112,0.108,0.12,0.124,0.127,0.127,0.135,0.15,0.204,0.204,0.208,0.214,0.224,0.233,0.246,0.257,0.263,0.286,0.295,0.102,0.105,0.107,0.118,0.117,0.119,0.124,0.138,0.141,0.132,0.169,0.202,0.205,0.211,0.222,0.231,0.253,0.263,0.299,0.304,0.321,0.319
9,0.1,0.103,0.106,0.111,0.112,0.109,0.121,0.127,0.121,0.128,0.134,0.2,0.201,0.216,0.216,0.231,0.231,0.24,0.248,0.261,0.273,0.282,0.103,0.104,0.109,0.118,0.111,0.128,0.126,0.136,0.132,0.143,0.168,0.204,0.204,0.214,0.22,0.236,0.245,0.259,0.273,0.28,0.314,0.324,0.104,0.106,0.11,0.125,0.128,0.13,0.136,0.149,0.158,0.153,0.188,0.204,0.207,0.216,0.23,0.244,0.276,0.283,0.323,0.328,0.357,0.362
10,0.1,0.103,0.107,0.111,0.113,0.106,0.114,0.118,0.099,0.081,0.081,0.2,0.201,0.217,0.215,0.232,0.228,0.231,0.232,0.239,0.246,0.242,0.103,0.103,0.112,0.122,0.11,0.13,0.125,0.128,0.128,0.113,0.138,0.204,0.206,0.218,0.222,0.241,0.255,0.26,0.281,0.276,0.29,0.301,0.105,0.108,0.113,0.133,0.133,0.138,0.14,0.145,0.16,0.127,0.162,0.204,0.212,0.22,0.237,0.257,0.283,0.29,0.348,0.345,0.367,0.359
11,0.101,0.1,0.101,0.11,0.108,0.099,0.1,0.099,0.078,0.066,0.069,0.2,0.196,0.211,0.207,0.208,0.215,0.212,0.228,0.223,0.214,0.212,0.102,0.103,0.115,0.129,0.109,0.13,0.117,0.12,0.118,0.105,0.124,0.206,0.206,0.221,0.224,0.241,0.254,0.26,0.28,0.263,0.275,0.286,0.105,0.108,0.115,0.135,0.135,0.139,0.143,0.142,0.163,0.122,0.156,0.205,0.216,0.224,0.248,0.268,0.301,0.302,0.362,0.358,0.381,0.355
12,0.101,0.098,0.099,0.107,0.103,0.086,0.087,0.085,0.065,0.053,0.065,0.2,0.188,0.205,0.195,0.196,0.179,0.186,0.203,0.205,0.189,0.196,0.102,0.099,0.111,0.13,0.11,0.129,0.111,0.113,0.105,0.097,0.116,0.206,0.203,0.216,0.215,0.237,0.255,0.248,0.288,0.253,0.273,0.263,0.105,0.108,0.117,0.138,0.137,0.133,0.142,0.145,0.161,0.119,0.164,0.206,0.218,0.236,0.25,0.279,0.31,0.319,0.365,0.379,0.383,0.364
13,0.101,0.101,0.102,0.111,0.111,0.093,0.095,0.093,0.072,0.058,0.068,0.201,0.195,0.214,0.205,0.21,0.204,0.212,0.217,0.221,0.206,0.217,0.102,0.106,0.118,0.141,0.113,0.136,0.122,0.119,0.115,0.103,0.126,0.207,0.208,0.219,0.222,0.255,0.27,0.272,0.311,0.283,0.304,0.303,0.105,0.109,0.123,0.144,0.147,0.148,0.158,0.16,0.181,0.131,0.185,0.206,0.219,0.241,0.268,0.299,0.334,0.358,0.411,0.423,0.44,0.402
14,0.102,0.102,0.098,0.109,0.102,0.094,0.091,0.089,0.071,0.053,0.059,0.2,0.197,0.212,0.202,0.205,0.202,0.219,0.212,0.213,0.206,0.227,0.101,0.108,0.125,0.143,0.123,0.144,0.124,0.114,0.112,0.105,0.123,0.206,0.21,0.221,0.222,0.259,0.262,0.288,0.317,0.286,0.311,0.33,0.106,0.111,0.123,0.148,0.155,0.154,0.161,0.17,0.178,0.132,0.206,0.207,0.221,0.244,0.273,0.311,0.349,0.37,0.435,0.449,0.486,0.441
15,0.103,0.102,0.099,0.114,0.103,0.098,0.086,0.085,0.058,0.051,0.051,0.201,0.198,0.213,0.206,0.198,0.208,0.214,0.217,0.208,0.207,0.219,0.101,0.106,0.128,0.143,0.123,0.147,0.127,0.111,0.111,0.103,0.125,0.207,0.211,0.225,0.228,0.26,0.275,0.291,0.339,0.299,0.323,0.358,0.106,0.109,0.125,0.145,0.158,0.154,0.161,0.169,0.181,0.131,0.213,0.207,0.219,0.248,0.283,0.324,0.364,0.374,0.463,0.471,0.509,0.491
16,0.104,0.101,0.104,0.114,0.104,0.096,0.078,0.067,0.058,0.047,0.048,0.2,0.201,0.213,0.207,0.203,0.211,0.214,0.209,0.224,0.206,0.226,0.101,0.105,0.128,0.144,0.121,0.151,0.134,0.107,0.112,0.099,0.125,0.207,0.212,0.228,0.237,0.263,0.275,0.307,0.347,0.308,0.341,0.374,0.106,0.112,0.13,0.149,0.164,0.165,0.171,0.188,0.192,0.137,0.236,0.208,0.219,0.249,0.293,0.342,0.372,0.402,0.509,0.507,0.538,0.536
17,0.102,0.101,0.105,0.114,0.104,0.096,0.076,0.068,0.048,0.045,0.042,0.2,0.205,0.212,0.206,0.208,0.21,0.207,0.211,0.222,0.21,0.236,0.101,0.104,0.128,0.151,0.123,0.142,0.139,0.11,0.122,0.101,0.127,0.208,0.214,0.228,0.231,0.27,0.288,0.318,0.372,0.322,0.368,0.384,0.107,0.114,0.133,0.15,0.174,0.179,0.184,0.199,0.202,0.134,0.253,0.21,0.219,0.255,0.301,0.364,0.389,0.435,0.546,0.532,0.588,0.576
18,0.104,0.103,0.102,0.113,0.105,0.099,0.078,0.063,0.042,0.046,0.041,0.2,0.201,0.211,0.207,0.211,0.213,0.215,0.213,0.225,0.215,0.24,0.101,0.103,0.126,0.153,0.131,0.148,0.132,0.109,0.125,0.101,0.129,0.209,0.219,0.231,0.237,0.278,0.293,0.338,0.396,0.344,0.397,0.416,0.107,0.113,0.128,0.152,0.174,0.184,0.189,0.219,0.219,0.14,0.276,0.21,0.22,0.261,0.314,0.373,0.409,0.463,0.581,0.572,0.628,0.623
19,0.105,0.108,0.103,0.115,0.104,0.099,0.08,0.059,0.043,0.045,0.034,0.199,0.199,0.212,0.203,0.213,0.216,0.216,0.212,0.22,0.217,0.245,0.103,0.106,0.127,0.154,0.128,0.149,0.138,0.107,0.126,0.095,0.134,0.209,0.219,0.232,0.238,0.288,0.311,0.344,0.415,0.359,0.42,0.424,0.107,0.114,0.131,0.156,0.175,0.19,0.197,0.231,0.24,0.149,0.288,0.211,0.223,0.265,0.329,0.386,0.437,0.499,0.634,0.62,0.675,0.672
20,0.105,0.107,0.107,0.114,0.11,0.097,0.075,0.057,0.038,0.043,0.033,0.2,0.199,0.213,0.201,0.214,0.222,0.213,0.207,0.217,0.206,0.253,0.103,0.107,0.129,0.152,0.127,0.15,0.138,0.109,0.128,0.093,0.134,0.209,0.219,0.232,0.243,0.299,0.33,0.36,0.432,0.37,0.435,0.454,0.109,0.116,0.134,0.16,0.186,0.201,0.205,0.238,0.257,0.147,0.306,0.212,0.226,0.274,0.349,0.415,0.468,0.529,0.673,0.662,0.707,0.708
21,0.105,0.107,0.11,0.112,0.109,0.09,0.073,0.054,0.037,0.04,0.025,0.201,0.201,0.209,0.203,0.208,0.22,0.219,0.203,0.206,0.201,0.253,0.103,0.109,0.133,0.158,0.128,0.145,0.141,0.107,0.123,0.096,0.138,0.209,0.224,0.234,0.241,0.305,0.335,0.372,0.451,0.38,0.465,0.483,0.109,0.116,0.138,0.166,0.194,0.216,0.217,0.255,0.271,0.152,0.329,0.212,0.231,0.277,0.363,0.436,0.485,0.563,0.713,0.689,0.753,0.755
22,0.104,0.107,0.108,0.114,0.106,0.088,0.074,0.053,0.033,0.04,0.022,0.2,0.204,0.218,0.202,0.208,0.221,0.217,0.187,0.201,0.196,0.251,0.104,0.108,0.13,0.16,0.127,0.146,0.141,0.101,0.129,0.095,0.13,0.208,0.226,0.236,0.249,0.304,0.341,0.391,0.469,0.391,0.494,0.51,0.109,0.117,0.144,0.171,0.199,0.213,0.223,0.276,0.281,0.16,0.352,0.212,0.238,0.288,0.383,0.475,0.508,0.605,0.747,0.719,0.79,0.8
23,0.103,0.109,0.106,0.114,0.097,0.089,0.069,0.053,0.027,0.036,0.017,0.202,0.206,0.214,0.202,0.206,0.218,0.216,0.185,0.206,0.186,0.257,0.105,0.105,0.129,0.158,0.128,0.15,0.145,0.101,0.128,0.096,0.123,0.209,0.228,0.242,0.257,0.313,0.359,0.409,0.489,0.41,0.512,0.534,0.109,0.118,0.146,0.18,0.196,0.222,0.236,0.29,0.309,0.159,0.362,0.212,0.238,0.294,0.399,0.499,0.534,0.649,0.78,0.759,0.829,0.83
24,0.103,0.109,0.11,0.11,0.1,0.094,0.067,0.045,0.026,0.03,0.015,0.2,0.207,0.216,0.207,0.208,0.219,0.214,0.191,0.21,0.184,0.262,0.105,0.106,0.129,0.16,0.128,0.15,0.145,0.105,0.131,0.09,0.116,0.21,0.229,0.247,0.263,0.316,0.363,0.416,0.513,0.423,0.525,0.556,0.109,0.121,0.145,0.188,0.205,0.227,0.254,0.3,0.329,0.162,0.387,0.212,0.244,0.302,0.412,0.526,0.577,0.683,0.822,0.795,0.875,0.859
25,0.104,0.108,0.106,0.11,0.104,0.096,0.061,0.043,0.023,0.028,0.014,0.201,0.209,0.215,0.207,0.208,0.221,0.211,0.187,0.205,0.192,0.262,0.106,0.108,0.132,0.163,0.133,0.155,0.154,0.107,0.131,0.092,0.122,0.212,0.232,0.245,0.26,0.329,0.382,0.436,0.535,0.45,0.556,0.59,0.109,0.12,0.148,0.194,0.211,0.235,0.272,0.323,0.349,0.173,0.424,0.212,0.244,0.311,0.43,0.551,0.612,0.717,0.858,0.832,0.899,0.898
26,0.104,0.108,0.107,0.108,0.101,0.087,0.059,0.04,0.021,0.028,0.011,0.198,0.208,0.216,0.208,0.212,0.224,0.213,0.18,0.209,0.198,0.269,0.106,0.111,0.137,0.16,0.141,0.158,0.163,0.113,0.132,0.098,0.129,0.211,0.232,0.251,0.259,0.342,0.39,0.45,0.566,0.467,0.58,0.616,0.11,0.119,0.15,0.206,0.22,0.244,0.279,0.351,0.362,0.188,0.45,0.212,0.25,0.328,0.445,0.573,0.642,0.761,0.889,0.868,0.921,0.921
27,0.104,0.111,0.106,0.102,0.106,0.083,0.063,0.036,0.016,0.025,0.01,0.199,0.201,0.224,0.209,0.211,0.217,0.22,0.178,0.208,0.196,0.267,0.105,0.111,0.137,0.165,0.14,0.164,0.164,0.115,0.137,0.096,0.129,0.212,0.236,0.26,0.27,0.355,0.4,0.464,0.577,0.484,0.615,0.648,0.111,0.121,0.152,0.215,0.229,0.252,0.295,0.377,0.385,0.196,0.48,0.214,0.255,0.331,0.464,0.605,0.682,0.802,0.908,0.899,0.938,0.941
28,0.104,0.109,0.103,0.1,0.102,0.082,0.06,0.033,0.014,0.024,0.011,0.197,0.206,0.223,0.207,0.213,0.219,0.214,0.187,0.196,0.192,0.272,0.106,0.111,0.139,0.164,0.141,0.166,0.169,0.114,0.142,0.101,0.137,0.212,0.243,0.262,0.273,0.367,0.414,0.482,0.602,0.499,0.644,0.676,0.112,0.123,0.158,0.22,0.243,0.268,0.313,0.393,0.41,0.207,0.508,0.214,0.257,0.337,0.498,0.633,0.711,0.835,0.925,0.928,0.96,0.961
29,0.106,0.108,0.101,0.1,0.104,0.075,0.059,0.034,0.012,0.024,0.011,0.197,0.206,0.226,0.207,0.213,0.227,0.215,0.187,0.189,0.195,0.27,0.106,0.114,0.144,0.164,0.147,0.167,0.185,0.115,0.139,0.098,0.146,0.213,0.246,0.267,0.285,0.374,0.419,0.506,0.631,0.515,0.665,0.697,0.113,0.123,0.16,0.231,0.253,0.287,0.322,0.41,0.445,0.22,0.541,0.215,0.266,0.349,0.531,0.669,0.744,0.859,0.951,0.953,0.976,0.974
30,0.105,0.11,0.106,0.1,0.1,0.073,0.055,0.029,0.008,0.018,0.01,0.197,0.201,0.227,0.21,0.224,0.224,0.215,0.188,0.191,0.187,0.279,0.107,0.113,0.152,0.167,0.147,0.167,0.188,0.115,0.137,0.102,0.148,0.213,0.249,0.267,0.285,0.401,0.446,0.531,0.66,0.549,0.706,0.73,0.114,0.124,0.159,0.245,0.271,0.306,0.328,0.448,0.482,0.226,0.585,0.215,0.273,0.357,0.56,0.704,0.786,0.896,0.976,0.97,0.987,0.984
31,0.106,0.109,0.103,0.104,0.093,0.071,0.053,0.028,0.008,0.015,0.011,0.199,0.205,0.229,0.21,0.216,0.229,0.22,0.186,0.187,0.188,0.283,0.107,0.114,0.152,0.174,0.152,0.167,0.185,0.113,0.143,0.101,0.154,0.214,0.252,0.268,0.303,0.407,0.46,0.563,0.687,0.572,0.746,0.774,0.114,0.128,0.162,0.251,0.292,0.317,0.359,0.479,0.532,0.248,0.62,0.216,0.271,0.368,0.575,0.739,0.812,0.921,0.984,0.984,0.993,0.991
32,0.106,0.109,0.105,0.103,0.086,0.067,0.053,0.026,0.007,0.015,0.011,0.197,0.204,0.233,0.212,0.215,0.22,0.222,0.185,0.177,0.189,0.283,0.107,0.112,0.149,0.174,0.156,0.175,0.183,0.118,0.15,0.098,0.156,0.212,0.253,0.28,0.305,0.428,0.486,0.588,0.709,0.596,0.769,0.796,0.114,0.133,0.165,0.257,0.308,0.335,0.384,0.514,0.562,0.252,0.653,0.216,0.279,0.388,0.606,0.771,0.843,0.951,0.992,0.988,0.998,0.995
33,0.105,0.11,0.106,0.099,0.089,0.063,0.049,0.023,0.006,0.011,0.008,0.198,0.199,0.226,0.211,0.214,0.218,0.217,0.19,0.176,0.189,0.281,0.108,0.112,0.148,0.178,0.162,0.182,0.18,0.115,0.159,0.099,0.161,0.213,0.259,0.28,0.314,0.442,0.499,0.615,0.742,0.628,0.799,0.819,0.115,0.133,0.171,0.273,0.316,0.361,0.399,0.54,0.584,0.269,0.689,0.216,0.286,0.396,0.629,0.807,0.867,0.959,0.998,0.994,1.0,0.998
34,0.107,0.108,0.108,0.102,0.091,0.062,0.046,0.024,0.006,0.011,0.008,0.199,0.199,0.228,0.215,0.217,0.222,0.22,0.19,0.169,0.188,0.289,0.109,0.112,0.152,0.182,0.168,0.178,0.19,0.119,0.169,0.103,0.158,0.213,0.265,0.285,0.309,0.451,0.516,0.644,0.765,0.648,0.833,0.837,0.115,0.137,0.175,0.291,0.339,0.385,0.423,0.579,0.636,0.278,0.725,0.216,0.289,0.413,0.657,0.844,0.897,0.971,0.997,0.996,0.999,0.999
35,0.107,0.11,0.111,0.099,0.093,0.054,0.044,0.024,0.006,0.011,0.007,0.202,0.195,0.226,0.209,0.218,0.225,0.208,0.192,0.162,0.179,0.289,0.109,0.112,0.154,0.185,0.171,0.18,0.195,0.123,0.167,0.098,0.163,0.215,0.269,0.292,0.317,0.46,0.534,0.67,0.787,0.681,0.859,0.862,0.115,0.135,0.177,0.303,0.356,0.407,0.446,0.615,0.666,0.304,0.769,0.216,0.291,0.417,0.695,0.87,0.92,0.975,0.998,0.998,0.999,0.999
