,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,0.1,0.1,0.102,0.102,0.106,0.106,0.106,0.106,0.106,0.108,0.11,0.2,0.202,0.202,0.2,0.204,0.206,0.202,0.208,0.216,0.232,0.22
2,0.1,0.102,0.108,0.106,0.11,0.114,0.116,0.112,0.112,0.126,0.122,0.2,0.202,0.204,0.206,0.212,0.22,0.216,0.214,0.234,0.258,0.232
3,0.1,0.106,0.112,0.114,0.118,0.122,0.124,0.13,0.118,0.136,0.124,0.2,0.202,0.204,0.208,0.216,0.226,0.228,0.222,0.25,0.276,0.25
4,0.1,0.106,0.116,0.12,0.124,0.122,0.136,0.134,0.122,0.142,0.14,0.2,0.204,0.208,0.218,0.224,0.238,0.232,0.234,0.258,0.296,0.27
5,0.1,0.108,0.118,0.124,0.13,0.128,0.146,0.146,0.126,0.152,0.146,0.2,0.204,0.214,0.22,0.234,0.254,0.246,0.244,0.278,0.314,0.284
6,0.102,0.114,0.122,0.13,0.134,0.132,0.154,0.156,0.138,0.164,0.162,0.2,0.204,0.214,0.222,0.25,0.262,0.254,0.258,0.292,0.332,0.308
7,0.102,0.116,0.124,0.134,0.14,0.138,0.17,0.164,0.148,0.18,0.164,0.2,0.21,0.214,0.226,0.26,0.276,0.272,0.266,0.306,0.344,0.33
8,0.102,0.12,0.128,0.14,0.152,0.148,0.176,0.174,0.154,0.192,0.176,0.202,0.212,0.216,0.23,0.266,0.284,0.296,0.274,0.322,0.356,0.346
9,0.102,0.124,0.128,0.146,0.156,0.16,0.182,0.188,0.168,0.202,0.188,0.204,0.22,0.218,0.236,0.274,0.294,0.31,0.286,0.336,0.368,0.366
10,0.104,0.126,0.13,0.152,0.166,0.164,0.194,0.194,0.18,0.208,0.2,0.204,0.22,0.22,0.246,0.28,0.3,0.33,0.306,0.344,0.382,0.388
11,0.104,0.128,0.132,0.162,0.176,0.17,0.2,0.206,0.19,0.222,0.214,0.206,0.228,0.222,0.25,0.286,0.312,0.354,0.326,0.348,0.4,0.414
12,0.104,0.13,0.132,0.164,0.186,0.176,0.216,0.22,0.202,0.246,0.23,0.206,0.23,0.224,0.258,0.296,0.322,0.376,0.336,0.364,0.41,0.432
13,0.086,0.118,0.114,0.152,0.168,0.158,0.208,0.194,0.178,0.226,0.21,0.168,0.202,0.18,0.22,0.282,0.296,0.342,0.306,0.318,0.37,0.392
14,0.086,0.122,0.1,0.142,0.18,0.13,0.196,0.2,0.174,0.222,0.212,0.158,0.192,0.152,0.228,0.262,0.282,0.334,0.286,0.304,0.346,0.386
15,0.084,0.118,0.094,0.14,0.17,0.124,0.194,0.196,0.194,0.232,0.218,0.152,0.192,0.15,0.232,0.268,0.27,0.334,0.288,0.29,0.352,0.378
16,0.08,0.116,0.104,0.138,0.166,0.132,0.202,0.194,0.196,0.24,0.218,0.15,0.194,0.156,0.234,0.274,0.282,0.336,0.288,0.288,0.36,0.376
17,0.086,0.114,0.112,0.132,0.16,0.13,0.204,0.204,0.206,0.238,0.24,0.142,0.186,0.162,0.246,0.268,0.286,0.344,0.284,0.292,0.356,0.376
18,0.082,0.116,0.122,0.142,0.16,0.126,0.202,0.206,0.206,0.24,0.25,0.144,0.188,0.156,0.252,0.266,0.296,0.358,0.298,0.296,0.37,0.374
19,0.08,0.124,0.124,0.144,0.166,0.126,0.206,0.214,0.21,0.236,0.244,0.136,0.194,0.152,0.248,0.256,0.312,0.366,0.306,0.284,0.37,0.378
20,0.078,0.128,0.126,0.146,0.166,0.132,0.202,0.21,0.214,0.24,0.26,0.132,0.196,0.154,0.25,0.26,0.322,0.368,0.322,0.28,0.366,0.382
21,0.07,0.13,0.13,0.148,0.164,0.126,0.21,0.214,0.224,0.25,0.272,0.134,0.204,0.16,0.256,0.27,0.316,0.374,0.318,0.274,0.366,0.392
22,0.064,0.136,0.136,0.152,0.168,0.122,0.212,0.222,0.238,0.25,0.288,0.126,0.2,0.176,0.268,0.284,0.318,0.384,0.318,0.298,0.362,0.402
23,0.068,0.142,0.14,0.15,0.174,0.136,0.214,0.23,0.242,0.262,0.308,0.126,0.2,0.188,0.27,0.29,0.306,0.39,0.322,0.306,0.354,0.41
24,0.066,0.142,0.136,0.144,0.164,0.142,0.222,0.238,0.244,0.258,0.312,0.124,0.202,0.186,0.274,0.304,0.298,0.392,0.308,0.302,0.346,0.42
25,0.07,0.134,0.14,0.142,0.164,0.146,0.21,0.234,0.25,0.27,0.314,0.124,0.212,0.188,0.274,0.3,0.298,0.382,0.322,0.306,0.346,0.41
26,0.072,0.128,0.136,0.148,0.17,0.156,0.214,0.24,0.264,0.276,0.31,0.12,0.206,0.19,0.28,0.28,0.318,0.38,0.328,0.29,0.354,0.408
27,0.066,0.128,0.134,0.148,0.154,0.164,0.21,0.242,0.264,0.282,0.312,0.122,0.206,0.19,0.278,0.296,0.336,0.388,0.326,0.284,0.346,0.418
28,0.068,0.132,0.138,0.146,0.156,0.168,0.2,0.262,0.262,0.268,0.322,0.118,0.206,0.198,0.264,0.3,0.35,0.38,0.334,0.294,0.35,0.436
29,0.066,0.132,0.142,0.148,0.154,0.16,0.198,0.262,0.254,0.272,0.31,0.122,0.204,0.206,0.264,0.314,0.346,0.39,0.342,0.292,0.352,0.444
30,0.06,0.128,0.156,0.158,0.158,0.154,0.196,0.266,0.256,0.274,0.316,0.124,0.204,0.208,0.256,0.318,0.354,0.394,0.342,0.3,0.346,0.44
31,0.06,0.13,0.16,0.154,0.156,0.156,0.2,0.278,0.266,0.264,0.322,0.12,0.202,0.212,0.244,0.316,0.348,0.39,0.36,0.296,0.342,0.432
32,0.056,0.132,0.146,0.168,0.156,0.158,0.22,0.276,0.274,0.264,0.338,0.112,0.198,0.216,0.258,0.316,0.346,0.4,0.358,0.308,0.348,0.448
33,0.052,0.132,0.154,0.178,0.164,0.164,0.218,0.28,0.282,0.276,0.338,0.104,0.196,0.23,0.268,0.304,0.344,0.396,0.352,0.302,0.35,0.45
34,0.052,0.134,0.152,0.18,0.176,0.176,0.228,0.294,0.296,0.28,0.334,0.102,0.208,0.234,0.292,0.296,0.344,0.394,0.358,0.314,0.362,0.454
35,0.05,0.142,0.154,0.18,0.176,0.184,0.23,0.308,0.31,0.288,0.35,0.1,0.204,0.234,0.288,0.294,0.346,0.402,0.366,0.328,0.356,0.468
36,0.052,0.136,0.15,0.194,0.182,0.19,0.23,0.312,0.326,0.298,0.342,0.1,0.21,0.228,0.286,0.296,0.346,0.386,0.366,0.328,0.354,0.46
37,0.052,0.136,0.148,0.212,0.184,0.19,0.228,0.32,0.326,0.306,0.346,0.092,0.208,0.232,0.29,0.286,0.358,0.39,0.364,0.334,0.374,0.464
38,0.05,0.14,0.15,0.214,0.194,0.186,0.246,0.316,0.334,0.31,0.352,0.104,0.196,0.22,0.3,0.288,0.358,0.392,0.366,0.338,0.388,0.472
39,0.05,0.144,0.15,0.222,0.192,0.18,0.252,0.324,0.342,0.326,0.358,0.102,0.196,0.226,0.304,0.296,0.352,0.398,0.36,0.356,0.396,0.486
40,0.052,0.15,0.148,0.22,0.196,0.178,0.256,0.32,0.36,0.326,0.342,0.096,0.196,0.226,0.312,0.292,0.354,0.402,0.372,0.372,0.394,0.502
41,0.048,0.152,0.15,0.22,0.202,0.178,0.268,0.32,0.352,0.336,0.336,0.096,0.202,0.226,0.326,0.292,0.352,0.402,0.37,0.376,0.392,0.496
42,0.046,0.152,0.146,0.21,0.214,0.188,0.272,0.316,0.368,0.338,0.352,0.096,0.192,0.23,0.33,0.29,0.338,0.394,0.364,0.378,0.398,0.494
43,0.04,0.154,0.148,0.218,0.204,0.196,0.276,0.316,0.386,0.342,0.358,0.098,0.194,0.214,0.344,0.288,0.334,0.392,0.372,0.382,0.386,0.5
